name,type,latitude_deg,longitude_deg,state
Princeville Airport,small_airport,22.20919991,-159.4459991,HI
Haiku Airstrip,small_airport,21.94239998,-159.4400024,HI
Hi 23 Airstrip,small_airport,21.96579933,-159.427002,HI
Hanamaulu Airstrip,small_airport,22.04129982,-159.3899994,HI
Lihue Airport,medium_airport,21.97599983,-159.3390045,HI
Chuathbaluk Airport,small_airport,61.579102,-159.216003,AK
Perryville Airport,small_airport,55.905998,-159.162993,AK
Manokotak Airport,small_airport,58.99020004,-159.0500031,AK
Golden Horn Lodge Seaplane Base,seaplane_base,59.74700165,-158.875,AK
Chignik Lake Airport,small_airport,56.25500107,-158.7749939,AK
Kaltag Airport,small_airport,64.31909943,-158.7409973,AK
Napaimute Pioneer Airfield,small_airport,61.53630066,-158.7389984,AK
Port Heiden Airport,medium_airport,56.95909882,-158.6329956,AK
Aleknagik Seaplane Base,seaplane_base,59.27399826,-158.6239929,AK
Aleknagik / New Airport,medium_airport,59.2826004,-158.6179962,AK
Aleknagik Mission Lodge Airport,small_airport,59.28089905,-158.5970001,AK
Chignik Fisheries Airport,closed,56.317643,-158.589706,AK
Shannons Pond Seaplane Base,seaplane_base,59.05899811,-158.5769958,AK
Ekuk Airport,small_airport,58.81119919,-158.5590057,AK
Tripod Airport,small_airport,59.263146,-158.557755,AK
Chignik Lagoon Airport,small_airport,56.31119919,-158.5359955,AK
Ans Hospital Heliport,heliport,59.00180054,-158.5319977,AK
Clarks Point Airport,small_airport,58.83369827,-158.529007,AK
Dillingham Airport,medium_airport,59.04470062,-158.5050049,AK
Tikchik Lodge Seaplane Base,seaplane_base,59.96319962,-158.477005,AK
The Queens Airport,small_airport,58.87200165,-158.4720001,AK
Chignik Bay Seaplane Base,seaplane_base,56.29560089,-158.401001,AK
Chignik Airport,small_airport,56.31150055,-158.3730011,AK
Donlin Creek Airporr,small_airport,62.031757,-158.234251,AK
Dillingham Airfield,medium_airport,21.5795002,-158.1970062,HI
Crooked Creek Airport,small_airport,61.86790085,-158.1349945,AK
Nulato Airport,small_airport,64.72930145,-158.0740051,AK
Kalaeloa Airport,medium_airport,21.3074,-158.070009,HI
Wheeler Army Airfield,medium_airport,21.48349953,-158.0399933,HI
Turtle Bay Resort Heliport,heliport,21.70490074,-158.0059967,HI
Flat Airport,small_airport,62.45259857,-157.9889984,AK
Heco-Waiau Heliport,heliport,21.39080048,-157.9649963,HI
Ford Island Naval Auxiliary Landing Field,small_airport,21.36490059,-157.9600067,HI
Kahuku Medical Center Heliport,heliport,21.676988,-157.955129,HI
K3 Helipad Heliport,heliport,21.36199951,-157.951004,HI
Kahuku Fire & Police Station Heliport,heliport,21.67519951,-157.9470062,HI
Daniel K Inouye International Airport,large_airport,21.32062,-157.924228,HI
Moanalua Medical Center Heliport,heliport,21.3640995,-157.8990021,HI
Ambler Airport,medium_airport,67.1063,-157.856989,AK
Hon Municipal Building Heliport,heliport,21.30430031,-157.8560028,HI
The Queen's Medical Center Heliport,heliport,21.30920029,-157.8529968,HI
Kuakini Medical Center Heliport,heliport,21.31349945,-157.8470001,HI
Kualoa Ranch Heliport,heliport,21.52179909,-157.8390045,HI
Nushagak Airport,small_airport,59.13259888,-157.7769928,AK
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,medium_airport,21.45050049,-157.7680054,HI
Ugashik Bay Airport,small_airport,57.42539978,-157.7400055,AK
Koyukuk Airport,small_airport,64.87609863,-157.727005,AK
Portage Creek Airport,small_airport,58.9065,-157.714,AK
Bellows AFS (Bellows Field),closed,21.370833,-157.713889,HI
Pilot Point Airport,small_airport,57.58039856,-157.5720062,AK
Ekwok Airport,small_airport,59.35680008,-157.470993,AK
Atqasuk Edward Burnell Sr Memorial Airport,medium_airport,70.46730042,-157.4360046,AK
Ugashik Airport,small_airport,57.5279007,-157.3990021,AK
Taylor Mountain Airport,small_airport,60.86780167,-157.3919983,AK
Egegik Airport,medium_airport,58.1855011,-157.375,AK
Bartletts Airport,small_airport,58.21620178,-157.352005,AK
Red Devil Airport,small_airport,61.7881012,-157.3500061,AK
New Stuyahok Airport,small_airport,59.44990158,-157.3280029,AK
Koliganek Airport,small_airport,59.72660065,-157.2590027,AK
Panda Airport,small_airport,21.14789963,-157.2590027,HI
Sleetmute Airport,small_airport,61.70050049,-157.1660004,AK
Shungnak Airport,small_airport,66.88809967,-157.1620026,AK
Moore Creek Airport,small_airport,62.59899902,-157.1519928,AK
Fort Jensen Airport,small_airport,57.88510132,-157.0970001,AK
Molokai Airport,medium_airport,21.1529007,-157.095993,HI
Nakeen Airport,small_airport,58.92760086,-157.0469971,AK
Naknek Airport,small_airport,58.73289871,-157.0200043,AK
Koggiung Airport,small_airport,58.87009811,-157.0099945,AK
South Naknek Nr 2 Airport,small_airport,58.70339966,-157.0079956,AK
Tibbetts Airport,small_airport,58.73429871,-157.0070038,AK
Diamond NN Cannery Airport,closed,58.710895,-156.994991,AK
Kawela Farm Heliport,heliport,21.08279991,-156.973999,HI
Kalaupapa Airport,small_airport,21.21100044,-156.973999,HI
Lanai Airport,medium_airport,20.78560066,-156.951004,HI
Edward G. Pitka Sr Airport,medium_airport,64.73619843,-156.9369965,AK
Kvichak /Diamond J/ Airport,small_airport,58.96260071,-156.9320068,AK
Dahl Creek Airport,small_airport,66.94329834,-156.9049988,AK
Kobuk Airport,small_airport,66.91230011,-156.8970032,AK
Levelock Airport,small_airport,59.12810135,-156.8589935,AK
Kalakaket Creek AS Airport,small_airport,64.4166257,-156.8203926,AK
Wiley Post Will Rogers Memorial Airport,medium_airport,71.285402,-156.766008,AK
Hyatt Regency Maui Hotel Heliport,heliport,20.91180038,-156.6929932,HI
Kaanapali Airport,closed,20.945,-156.69,HI
Kapalua Airport,medium_airport,20.96290016,-156.6730042,HI
King Salmon Airport,medium_airport,58.67679977,-156.6490021,AK
Point Barrow LRRS Airstrip,small_airport,71.3367,-156.6377,AK
Stony River 2 Airport,small_airport,61.78969955,-156.5890045,AK
Ophir Airport,small_airport,63.14599991,-156.5299988,AK
Kahului Airport,medium_airport,20.8986,-156.429993,HI
Wide Bay Airport,closed,57.3717,-156.41851,AK
Yankee Creek 2 Airport,small_airport,63.00189972,-156.3670044,AK
Huslia Airport,medium_airport,65.69789886,-156.3509979,AK
Bear Creek 3 Airport,small_airport,63.57331604,-156.1494541,AK
Kona International At Keahole Airport,medium_airport,19.73880005,-156.0460052,HI
Takotna Airport,small_airport,62.993206,-156.029026,AK
Hana Airport,medium_airport,20.79560089,-156.0140076,HI
Old Kona Airport,closed,19.6448,-156.0114,HI
Colorado Creek Airport,small_airport,63.56769943,-155.9889984,AK
Kaupulehu Heliport,heliport,19.83250046,-155.9819946,HI
Tatalina LRRS Airport,medium_airport,62.89440155,-155.977005,AK
Igiugig Airport,small_airport,59.32400131,-155.9019928,AK
Waikoloa Heliport,heliport,19.9205,-155.8607,HI
Upolu Airport,medium_airport,20.26530075,-155.8600006,HI
Puu Waa Waa Ranch Airport,small_airport,19.78860092,-155.8500061,HI
Lake Brooks Seaplane Base,seaplane_base,58.55479813,-155.7769928,AK
Morse Field,closed,18.9163,-155.6773,HI
